movieId,Title,genres,,,,,,,,
387,Meri Nimmo,Drama,,,,,,,,
388,102 Not Out,"Comedy,Family,Drama",,,,,,,,
390,Raazi,"Thriller,Action,Drama",,,,,,,,
391,Hope Aur Hum,"Comedy,Drama",,,,,,,,
392,High Jack,Comedy,,,,,,,,
393,Khajoor Pe Atke,Comedy,,,,,,,,
395,Bioscopewala,Drama,,,,,,,,
396,Veere Di Wedding,"Drama,Comedy",,,,,,,,
397,Bhavesh Joshi Superhero,"Action,Drama",,,,,,,,
398,Phamous,"Crime,Drama,Romance",,,,,,,,
399,Race 3,"Thriller,Action",,,,,,,,
400,Lust Stories,"Drama,Romance",,,,,,,,
401,Sanju,"Drama,Comedy",,,,,,,,
402,Soorma,Drama,,,,,,,,
403,"Saheb, Biwi Aur Gangster 3","Action,Drama,Thriller",,,,,,,,
404,Nawabzaade,"Comedy,Romance",,,,,,,,
405,Fanney Khan,"Comedy,Drama,Music",,,,,,,,
406,Mulk,Drama,,,,,,,,
407,Brij Mohan Amar Rahe!,"Comedy,Drama",,,,,,,,
409,Karwaan,"Adventure,Comedy",,,,,,,,
410,Gold,"Drama,History",,,,,,,,
411,Satyameva Jayate,"Action,Thriller",,,,,,,,
412,Genius,"Thriller,Action",,,,,,,,
413,Happy Phirr Bhag Jayegi,"Drama,Romance,Comedy",,,,,,,,
414,Toba Tek Singh,Drama,,,,,,,,
416,Once Again,"Drama,Romance",,,,,,,,
417,Paltan,"War,Drama,Action",,,,,,,,
418,Laila Majnu,"Drama,Romance",,,,,,,,
419,Gali Guleiyan,"Thriller,Drama",,,,,,,,
420,Halkaa,Drama,,,,,,,,
421,Manmarziyaan,"Romance,Drama",,,,,,,,
422,Love Sonia,Drama,,,,,,,,
423,Mitron,"Romance,Comedy,Family",,,,,,,,
424,Batti Gul Meter Chalu,"Comedy,Drama",,,,,,,,
425,Manto,"Drama,History",,,,,,,,
426,Ishqeria,"Comedy,Romance",,,,,,,,
428,Pataakha,"Action,Comedy,Drama",,,,,,,,
429,Loveyatri,"Drama,Romance,Comedy,Music",,,,,,,,
430,Andhadhun,"Crime,Thriller,Comedy",,,,,,,,
431,Jalebi,"Drama,Romance",,,,,,,,
432,Helicopter Eela,Drama,,,,,,,,
433,FryDay,Comedy,,,,,,,,
1.834,/wQ3Vt9lthFqPsCAlt1MmwfoXHYl.jpg,6.5,,,,,,,,
434,Tumbbad,"Horror,Fantasy",,,,,,,,
435,Namaste England,"Comedy,Romance",,,,,,,,
436,Badhaai Ho,"Comedy,Romance,Drama",,,,,,,,
437,Baazaar,"Crime,Drama,Thriller",,,,,,,,
438,5 Weddings,"Drama,Comedy,Romance",,,,,,,,
439,Kaashi in Search of Ganga,"Thriller,Drama",,,,,,,,
440,Dassehra,Thriller,,,,,,,,
441,Thugs of Hindostan,"Adventure,Action",,,,,,,,
442,Mohalla Assi,Drama,,,,,,,,
443,Pihu,"Thriller,Drama",,,,,,,,
444,Hotel Milan,Drama,,,,,,,,
445,Tigers,"Drama,Thriller",,,,,,,,
447,Rajma Chawal,"Comedy,Drama,Family",,,,,,,,
448,Kedarnath,Romance,,,,,,,,
450,Simmba,"Action,Comedy,Crime,Drama",,,,,,,,
451,Haraamkhor,Drama,,,,,,,,
452,Ok Jaanu,"Drama,Romance",,,,,,,,
453,Coffee with D,Comedy,,,,,,,,
454,Kaabil,"Action,Thriller,Drama",,,,,,,,
455,Raees,"Thriller,Action,Crime",,,,,,,,
456,Hind Ka Napak Ko Jawab: MSG Lion Heart 2,"Action,Comedy",,,,,,,,
457,"U, Me Aur Ghar",Romance,,,,,,,,
458,Running Shaadi,"Comedy,Romance",,,,,,,,
459,The Ghazi Attack,"Action,War,Thriller",,,,,,,,
460,Irada,Thriller,,,,,,,,
461,Rangoon,"War,History,Drama,Romance",,,,,,,,
462,Wedding Anniversary,Drama,,,,,,,,
463,Mona Darling,"Thriller,Horror",,,,,,,,
465,Jeena Isi Ka Naam Hai,Drama,,,,,,,,
466,Badrinath Ki Dulhania,"Drama,Comedy,Romance",,,,,,,,
467,Aa Gaya Hero,Action,,,,,,,,
468,Trapped,"Thriller,Drama",,,,,,,,
